time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-12-29T04:22:03.038Z,56.5836,-156.1461,65.1,3.1,ml,,,,0.64,ak,ak14825137,2016-12-29T04:45:17.064Z,"90km NNW of Chirikof Island, Alaska",earthquake,,1.5,,,automatic,ak,ak
2016-12-29T04:20:38.450Z,63.4306,-150.4298,14,2.9,ml,,,,0.79,ak,ak14825050,2016-12-29T08:09:35.237Z,"74km W of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2016-12-29T03:00:20.580Z,-41.6265,174.4678,20.56,4.4,mb,,127,0.226,0.56,us,us10007ngs,2016-12-29T03:22:16.040Z,"41km SW of Brooklyn, New Zealand",earthquake,3.5,5.6,0.241,5,reviewed,us,us
2016-12-29T02:34:34.420Z,-41.6574,174.5204,24.17,5.2,mb,,100,0.247,0.5,us,us10007ngm,2016-12-29T19:08:19.000Z,"42km SSW of Brooklyn, New Zealand",earthquake,3.4,5.5,0.111,27,reviewed,us,us
2016-12-29T01:36:27.515Z,61.7097,-148.1658,0.1,3.2,ml,,,,1.07,ak,ak14822123,2016-12-29T08:06:48.006Z,"37km ESE of Sutton-Alpine, Alaska",earthquake,,0.9,,,automatic,ak,ak
2016-12-29T01:13:17.520Z,34.1525,-116.704,10.05,2.76,ml,108,22,0.1228,0.15,ci,ci37773008,2016-12-30T04:17:29.993Z,"16km NW of Morongo Valley, CA",earthquake,0.1,0.26,0.192,25,reviewed,ci,ci
2016-12-29T00:22:18.670Z,38.4082,-118.9397,6.8,2.6,ml,24,57.1,0.145,0.1575,nn,nn00571077,2016-12-30T02:35:32.579Z,"30km WSW of Hawthorne, Nevada",earthquake,,3.1,0.36,15,reviewed,nn,nn
2016-12-28T23:51:54.480Z,-43.1165,-74.4714,15.64,4.5,mb,,184,0.591,0.51,us,us10007nfi,2016-12-29T00:24:55.040Z,"69km W of Puerto Quellon, Chile",earthquake,5.2,1.9,0.15,13,reviewed,us,us
2016-12-28T23:31:37.100Z,14.983,-93.1202,61.33,4.6,mb,,146,1.452,1.33,us,us10007nfe,2016-12-29T05:55:04.716Z,"55km SSW of Mapastepec, Mexico",earthquake,3.5,8.6,0.039,200,reviewed,us,us
2016-12-28T22:52:51.619Z,38.3897,-118.9216,8.4,2.8,ml,26,54.83,0.14,0.1558,nn,nn00571059,2016-12-29T04:08:12.752Z,"29km WSW of Hawthorne, Nevada",earthquake,,1.3,0.31,12,reviewed,nn,nn
2016-12-28T22:29:51.300Z,18.752,-67.1071,4,2.5,Md,3,327.6,0.5228195,0.18,pr,pr16363004,2016-12-28T23:15:11.041Z,"28km N of San Antonio, Puerto Rico",earthquake,2.3,1.4,0,3,reviewed,pr,pr
2016-12-28T22:00:00.837Z,38.3984,-118.9246,7.6,3.7,ml,26,55.08,0.138,0.1605,nn,nn00571047,2016-12-29T22:01:57.310Z,"29km WSW of Hawthorne, Nevada",earthquake,,1.5,0.39,12,reviewed,nn,nn
2016-12-28T18:00:51.182Z,38.3161,-118.7855,6,2.8,ml,28,53.09,0.142,0.138,nn,nn00570973,2016-12-29T00:56:18.975Z,"27km SSW of Hawthorne, Nevada",earthquake,,2.3,0.2,13,reviewed,nn,nn
2016-12-28T17:57:47.230Z,34.1498333,-116.7083333,10.91,2.56,ml,51,46,0.1218,0.2,ci,ci37772696,2016-12-28T20:26:09.000Z,"16km NW of Morongo Valley, CA",earthquake,0.2,0.75,0.109,21,reviewed,ci,ci
2016-12-28T17:56:59.830Z,34.1513333,-116.7071667,10.92,3.92,mw,117,25,0.1228,0.16,ci,ci37772688,2016-12-30T16:04:00.396Z,"16km NW of Morongo Valley, CA",earthquake,0.1,0.48,,6,reviewed,ci,ci
2016-12-28T16:28:21.890Z,38.3437,-118.8893,9.3,3.7,ml,28,54.62,0.15,0.2064,nn,nn00571072,2016-12-29T00:04:22.403Z,"30km SW of Hawthorne, Nevada",earthquake,,2.1,0.33,16,reviewed,nn,nn
2016-12-28T15:01:21.412Z,38.377,-118.9276,7.6,2.8,ml,22,53.95,0.15,0.1537,nn,nn00570936,2016-12-29T03:19:48.789Z,"29km ENE of Bridgeport, California",earthquake,,1.6,0.24,13,reviewed,nn,nn
2016-12-28T14:40:12.402Z,38.2971,-118.8291,10.2,3.5,ml,20,57.52,0.168,0.1588,nn,nn00570928,2016-12-29T02:51:40.685Z,"30km SW of Hawthorne, Nevada",earthquake,,1.5,0.42,11,reviewed,nn,nn
2016-12-28T14:35:36.050Z,12.4821,-89.8556,10,4.7,mb,,184,1.343,0.68,us,us10007nbg,2016-12-28T15:31:40.842Z,"122km S of Acajutla, El Salvador",earthquake,3.6,2,0.092,36,reviewed,us,us
2016-12-28T14:24:24.770Z,-5.1277,144.0169,104.79,5.3,mb,,32,4.534,0.78,us,us10007nbd,2016-12-28T15:12:24.104Z,"52km NE of Wabag, Papua New Guinea",earthquake,4.4,6.5,0.074,61,reviewed,us,us
