time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-21T06:45:02.400Z,17.996,-66.622,17,2.8,Md,18,172.8,0.0880349,0.2,pr,pr16326002,2016-11-21T07:46:17.184Z,"1km SSW of Ponce, Puerto Rico",earthquake,0.4,0.5,0,15,reviewed,pr,pr
2016-11-21T06:41:55.100Z,18.0016,-66.619,18,2.7,Md,14,169.2,0.08174669,0.12,pr,pr16326001,2016-11-21T07:00:52.125Z,"1km SSW of Ponce, Puerto Rico",earthquake,0.4,0.4,0,11,reviewed,pr,pr
2016-11-21T05:55:48.879Z,61.5456,-150.5552,44.2,2.9,ml,,,,0.62,ak,ak14374047,2016-11-21T06:14:24.979Z,"32km W of Big Lake, Alaska",earthquake,,0.7,,,automatic,ak,ak
2016-11-21T05:28:18.780Z,-10.6815,-74.7471,33.51,4.5,mb,,64,2.43,1.15,us,us10007b2w,2016-11-21T07:17:09.324Z,"57km E of Villa Rica, Peru",earthquake,6.7,6.6,0.069,62,reviewed,us,us
2016-11-21T04:27:12.700Z,18.3705,-66.6003,133,3.4,Md,6,190.8,0.14642539,0.11,pr,pr16326003,2016-11-21T08:06:04.371Z,"2km S of La Alianza, Puerto Rico",earthquake,3.8,1,0,3,reviewed,pr,pr
2016-11-21T03:58:12.240Z,41.0886,142.9808,34.67,4.9,mb,,134,0.935,1.28,us,us10007b2f,2016-11-21T21:11:57.480Z,"141km ENE of Hachinohe, Japan",earthquake,6.9,5.7,0.06,87,reviewed,us,us
2016-11-21T02:47:09.460Z,37.8941,141.5793,51.31,4.6,mb,,132,0.625,0.86,us,us10007b1x,2016-11-21T05:02:18.040Z,"62km SSE of Ishinomaki, Japan",earthquake,5.1,6.6,0.122,20,reviewed,us,us
2016-11-21T02:29:24.160Z,-11.4507,-13.026,10,4.7,mb,,115,8.373,0.79,us,us10007b1s,2016-11-21T02:54:42.040Z,"Ascension Island region",earthquake,13.6,1.9,0.126,19,reviewed,us,us
2016-11-21T02:08:56.550Z,-6.0939,130.7685,117.92,4.5,mb,,98,1.948,0.36,us,us10007b1q,2016-11-21T04:40:31.040Z,"214km NNW of Saumlaki, Indonesia",earthquake,9.9,5.9,0.14,15,reviewed,us,us
2016-11-21T01:54:01.270Z,38.637,-121.8883333,15.32,2.81,md,79,56,0.1297,0.24,nc,nc72727885,2016-11-21T23:48:02.156Z,"7km ESE of Cottonwood, California",earthquake,0.36,0.21,0.245,83,reviewed,nc,nc
2016-11-21T01:36:26.340Z,10.2566,-62.161,10,4.8,mb,,61,1.903,0.91,us,us10007b1f,2016-11-21T04:17:33.272Z,"33km NNE of Pedernales, Venezuela",earthquake,4,1.9,0.062,81,reviewed,us,us
2016-11-21T00:15:39.790Z,36.5127,70.329,199.17,4.3,mb,,93,1.471,0.78,us,us10007b10,2016-11-21T00:42:10.040Z,"42km E of Farkhar, Afghanistan",earthquake,6.8,9.5,0.265,4,reviewed,us,us
2016-11-21T00:13:51.900Z,18.1487,-64.6679,121,2.7,Md,8,183.6,0.20661252,0.15,pr,pr16326000,2016-11-21T03:49:31.016Z,"30km S of Road Town, British Virgin Islands",earthquake,2.2,0.9,0,4,reviewed,pr,pr
2016-11-21T00:09:49.620Z,-37.4835,-73.7039,14.67,4.8,mwr,,133,0.841,1.23,us,us10007b0z,2016-11-21T05:01:55.934Z,"15km NNW of Lebu, Chile",earthquake,4.8,4.3,0.045,47,reviewed,us,us
2016-11-20T23:37:23.570Z,-21.1202,-68.6788,138.46,4,mb,,103,0.759,1.09,us,us10007b0v,2016-11-21T00:09:43.040Z,"151km N of Calama, Chile",earthquake,6.4,7.9,0.26,4,reviewed,us,us
2016-11-20T23:25:03.140Z,80.1079,0.0623,10,4.7,mb,,85,2.478,0.78,us,us10007b0q,2016-11-20T23:50:16.040Z,"North of Svalbard",earthquake,8.9,1.9,0.048,133,reviewed,us,us
2016-11-20T23:24:19.118Z,60.0268,-152.7266,92.6,4.1,ml,,,,0.72,ak,ak14372259,2016-11-21T08:47:56.351Z,"51km S of Redoubt Volcano, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2016-11-20T23:05:03.040Z,27.3051,140.1368,452.77,4.5,mb,,41,1.835,1.25,us,us10007b0i,2016-11-21T00:47:17.617Z,"207km W of Chichi-shima, Japan",earthquake,10.8,6.5,0.047,133,reviewed,us,us
2016-11-20T22:53:47.156Z,63.4824,-149.5677,104.9,2.7,ml,,,,0.54,ak,ak14372005,2016-11-20T23:10:49.648Z,"32km WNW of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2016-11-20T22:26:49.500Z,17.864,-65.6256,11,2.5,Md,5,244.8,0.2407485,0.2,pr,pr16325004,2016-11-21T00:07:09.790Z,"30km SE of El Negro, Puerto Rico",earthquake,0.9,1,0,4,reviewed,pr,pr
2016-11-20T21:59:26.490Z,35.923,140.9989,17.18,5,mb,,103,1.949,0.9,us,us10007azu,2016-11-22T03:03:01.161Z,"25km NE of Hasaki, Japan",earthquake,6.6,3.8,0.06,88,reviewed,us,us
2016-11-20T20:57:43.980Z,-31.6428,-68.7645,115.79,6.4,mwp,,63,0.118,1.23,us,us10007az5,2016-11-22T03:02:06.187Z,"10km SSW of Zonda, Argentina",earthquake,6.9,6.4,0.036,97,reviewed,us,us
2016-11-20T19:05:30.201Z,62.0217,-151.5458,74.6,2.5,ml,,,,0.63,ak,ak14371027,2016-11-20T19:23:49.436Z,"82km WSW of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2016-11-20T17:56:13.420Z,-44.2456,39.1215,10,5,mb,,65,9.235,0.76,us,us10007ayr,2016-11-20T18:14:48.040Z,"Prince Edward Islands region",earthquake,8.8,1.5,0.098,33,reviewed,us,us
2016-11-20T16:30:19.400Z,-41.7517,174.3276,21.28,4,mb,,142,0.085,0.52,us,us10007ay1,2016-11-20T20:19:30.040Z,"40km SE of Blenheim, New Zealand",earthquake,3.1,8.3,0.211,6,reviewed,us,us
2016-11-20T16:21:35.529Z,61.4103,-147.8775,14.1,3,ml,,,,0.9,ak,ak14370567,2016-11-20T16:39:18.776Z,"61km ESE of Lazy Mountain, Alaska",earthquake,,0.3,,,automatic,ak,ak
2016-11-20T15:55:49.180Z,-23.2227,-66.8869,197.45,4.6,mwr,,32,1.219,0.78,us,us10007axi,2016-11-20T23:58:26.339Z,"122km W of El Aguilar, Argentina",earthquake,8,6.9,,,reviewed,us,guc
2016-11-20T15:31:25.000Z,-41.724,174.2915,16.73,4.6,mb,,106,0.063,0.52,us,us10007ax3,2016-11-20T19:16:21.040Z,"36km SE of Blenheim, New Zealand",earthquake,2.2,2,0.386,3,reviewed,us,us
2016-11-20T15:29:35.330Z,-44.2391,39.1492,10,5,mb,,26,17.892,1.03,us,us10007ax6,2016-11-20T19:04:06.040Z,"Prince Edward Islands region",earthquake,10.4,1.7,0.071,63,reviewed,us,us
2016-11-20T15:06:59.840Z,12.6269,-88.0757,53.61,4.4,mb,,178,1.003,1.11,us,us10007awt,2016-11-20T18:11:26.040Z,"63km S of Intipuca, El Salvador",earthquake,7.4,5.6,0.058,87,reviewed,us,us
2016-11-20T14:46:32.540Z,24.3176,-108.8966,10,4.3,mb,,189,1.146,0.42,us,us10007awl,2016-11-20T17:23:59.040Z,"120km SW of La Reforma, Mexico",earthquake,8.9,2,0.074,51,reviewed,us,us
2016-11-20T14:41:07.640Z,24.5993,-109.2016,10,4.9,mb,,98,1.134,0.57,us,us10007awj,2016-11-20T16:41:13.040Z,"111km S of Topolobampo, Mexico",earthquake,3.8,1.9,0.037,233,reviewed,us,us
2016-11-20T14:32:40.440Z,-42.2591,173.8837,15.88,4.4,mb,,168,0.125,0.53,us,us10007awh,2016-11-20T15:40:41.040Z,"23km NE of Kaikoura, New Zealand",earthquake,3.5,5,0.241,5,reviewed,us,us
2016-11-20T14:15:48.650Z,19.3601665,-155.0883331,1.62,2.54,ml,43,161,0.02684,0.26,hv,hv61487821,2016-11-20T14:21:30.030Z,"16km S of Fern Acres, Hawaii",earthquake,0.49,0.35,0.61,4,automatic,hv,hv
2016-11-20T13:36:27.210Z,-42.512,173.2078,14.63,4.2,mb,,67,0.263,0.78,us,us10007aw1,2016-11-20T15:01:48.040Z,"40km WSW of Kaikoura, New Zealand",earthquake,4,5.8,0.215,6,reviewed,us,us
2016-11-20T13:09:31.800Z,-41.7053,174.334,15.54,4.2,mb,,77,0.1,0.47,us,us10007avx,2016-11-20T14:26:21.040Z,"38km ESE of Blenheim, New Zealand",earthquake,1.5,1.8,0.264,5,reviewed,us,us
